C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-337676,2894,MT,48.3579,-114.5378,07/14/09,Forested Upland,Evergreen Forest,20-50,46.4,1.4,11.2,12.6,4.7,15.5,N.D.,20.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,20,<1,6.32,7.6,786,2,0.26,0.45,N.D.,0.45,0.53,<0.1,84.8,8.7,24,7,15.1,2.32,15.8,0.03,0.06,2.15,39.1,71,1.3,322,0.46,1.02,8.1,13.6,290,14.8,111,0.01,0.62,8.8,<0.2,1.9,73.9,<0.1,11,0.23,0.6,2.4,51,0.9,18.3,59
C-337677,2926,MT,48.4922,-107.5283,07/22/09,Herbaceous Upland,Grasslands/Herbaceous,30-100,41.6,4.3,11.4,15.6,4.6,8.4,N.D.,13,N.D.,1.1,N.D.,N.D.,1.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,28.8,<1,5.95,9.5,927,1.5,0.19,0.85,0.1,0.8,1.37,0.4,54.3,10.8,49,<5,16.9,2.75,13.4,0.02,0.04,1.81,28,33,0.93,456,0.76,1.03,9.1,25.6,740,14.6,73.2,0.15,0.69,8.6,2,1.3,177,<0.1,8.6,0.27,0.5,2.1,89,1.1,18.1,102
C-337678,3182,MT,46.0207,-108.5266,07/30/09,Herbaceous Upland,Grasslands/Herbaceous,70-100,33.1,2.3,7.4,9.7,3.3,14.8,2.5,20.6,N.D.,6.4,9.6,N.D.,16,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,20.7,<1,5.87,6.2,596,1.8,0.29,2.25,2,0.3,5.48,0.2,59.9,9,34,6,15.3,2.53,14.2,0.02,0.05,2.05,30.2,34,2.32,396,0.8,1.44,9.8,18.5,660,13.9,89.9,0.34,1.12,8,0.2,1.7,171,<0.1,10,0.23,0.5,3.3,64,1.4,16.1,64
C-337679,3198,MT,48.7525,-105.9785,07/23/09,Herbaceous Upland,Grasslands/Herbaceous,20-50,50,5.4,13.4,18.7,0.6,8.5,N.D.,9.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,22.2,<1,4.95,6.3,928,1.3,0.14,0.68,N.D.,0.68,0.72,0.2,47.3,9,37,<5,12.6,2.07,10.9,0.02,0.03,1.81,24.4,20,0.53,463,0.76,1.06,7.5,20.5,470,11.9,66.9,0.02,0.8,6.5,0.4,1,185,<0.1,6.7,0.21,0.4,1.7,61,2,15,54
C-337680,3246,MT,48.8805,-111.8966,07/17/09,Barren,Transitional,70-100,32,0.5,0.3,0.9,3.9,22.2,4.4,30.5,N.D.,1.7,0.3,N.D.,2,N.D.,N.D.,N.D.,5.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,28.9,<1,7.34,12.6,1020,2.1,0.24,0.98,0.2,0.8,2.83,0.5,62.8,10.3,78,9,21.3,2.83,18.4,0.03,0.06,2.37,33.5,74,1.27,207,5.05,0.69,13.4,36.4,860,16.7,120,1.39,0.93,12.3,0.5,2.1,168,<0.1,11,0.32,1,4,220,1.3,19.4,120
C-337887,3262,MT,45.1803,-104.9163,09/24/09,Herbaceous Upland,Grasslands/Herbaceous,84-95,59.9,7.7,17.7,25.3,1.1,8.9,N.D.,10,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,4.8,<1,4.94,3,544,1.6,0.09,0.13,N.D.,0.13,0.71,<0.1,43.1,4.3,16,<5,3.7,1.24,10.4,<0.01,0.03,2.08,22,16,0.48,129,0.23,1.15,6.9,9,320,8.4,72.3,<0.01,0.56,4.8,<0.2,1.3,188,<0.1,7,0.17,0.3,1.9,38,1.2,10.1,31
C-337682,3310,MT,45.646,-111.3551,08/03/09,Herbaceous Upland,Grasslands/Herbaceous,40-100,5,0.9,11.2,12.1,19,4.9,N.D.,23.9,N.D.,12.5,N.D.,N.D.,12.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,46.5,<1,6.07,3.7,597,1.6,0.21,1.71,1.5,0.2,6.44,0.3,54.4,8.7,20,<5,28.6,2.9,14.8,0.02,0.06,1.36,27.4,40,1.56,785,0.58,0.89,12.9,11.7,1250,12,61.3,0.02,0.69,10,<0.2,1.5,255,<0.1,8.3,0.33,0.5,2.3,49,1,27.1,70
C-337683,3438,MT,48.6462,-110.331,07/18/09,Herbaceous Upland,Grasslands/Herbaceous,20-100,29.9,3.5,5.9,9.4,5.2,16.1,1.2,22.5,N.D.,4.8,8.8,N.D.,13.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,24.7,<1,6.78,3.9,632,2.2,0.49,2.01,1.7,0.3,4.66,0.3,53.4,7.5,37,8,21.5,2.8,16.1,0.04,0.07,2.45,26.8,41,2.23,482,0.49,0.88,10.8,18.7,560,15.5,121,0.05,0.93,9,0.5,2.4,128,<0.1,10.3,0.26,0.7,2.9,77,1.9,16.9,76
C-337684,3502,MT,48.7195,-113.4757,07/11/09,Shrubland,Shrubland,0-10,46.4,2.9,9.6,12.4,N.D.,16.3,1.7,18,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,23.2,<1,5.05,8.8,908,1.6,0.23,6.16,N.D.,6.16,0.67,0.3,48.1,5.3,30,5,12.8,1.93,11.9,0.03,0.04,1.9,25.2,39,0.82,519,0.77,0.67,8,10.9,1590,13,88.1,0.08,0.65,5.7,0.2,1.3,96.6,<0.1,7.7,0.19,0.4,2.3,60,0.9,14.4,77
C-337888,3518,MT,47.062,-106.289,09/21/09,Herbaceous Upland,Grasslands/Herbaceous,75-89,42,3,4.6,7.6,2.6,9.3,2.3,14.2,N.D.,3.8,10,N.D.,13.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,22.5,<1,5.03,8.1,549,1.9,0.25,2.51,1.8,0.7,5.06,0.2,53.7,6.8,29,5,18.1,1.89,11.7,0.02,0.04,1.72,27.2,28,2.12,311,0.82,0.55,9.2,14.7,410,13.5,78,0.03,1.03,6.9,0.2,1.7,167,<0.1,9,0.21,0.5,2.6,52,1.1,15,44
C-337685,3566,MT,45.7346,-112.8628,07/06/09,Forested Upland,Evergreen Forest,0-5,39.9,0.7,7.1,7.8,N.D.,13.2,1.8,15,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,37.3,<1,5.24,28.7,533,1.7,1.28,4.57,N.D.,4.57,1.03,5.3,55.7,8.4,55,7,19.9,2.39,12.6,0.07,0.08,1.7,31.5,46,0.68,1710,2.53,0.5,8.3,26.2,1970,33.7,77.9,0.04,2.43,7.2,0.6,1.7,94.3,0.3,8.2,0.25,1,3,56,2.6,25.1,194
C-337686,3630,MT,45.2381,-109.0098,07/31/09,Shrubland,Shrubland,50-100,54.6,2.6,2.2,4.8,N.D.,12.4,3.4,15.7,N.D.,0.4,1.2,N.D.,1.6,N.D.,N.D.,N.D.,0.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,22.7,<1,4.82,7.2,745,1.5,0.18,0.48,0.2,0.3,1.09,0.2,54.1,9.5,32,5,10.3,2.1,11.6,0.02,0.04,1.56,28.7,28,0.8,162,0.95,0.62,10.4,17.1,1020,15.2,76.2,0.32,0.61,5.9,0.8,1.3,110,<0.1,8.7,0.22,0.6,4,81,1,17,74
C-337687,3646,MT,47.9253,-105.2652,07/25/09,Planted/Cultivated,Pasture/Hay,50-100,39.1,4,7.6,11.6,1.9,11.4,1,14.3,N.D.,3.8,9.9,N.D.,13.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,21.4,<1,4.81,7.4,730,1.3,0.17,2.8,1.7,1.1,4.44,0.3,46.9,7.4,39,<5,13.5,2.06,9.9,0.02,0.04,1.69,24.5,27,1.93,440,0.83,0.84,6.9,20.5,690,11.1,63.1,0.06,0.81,5.8,0.4,1,165,<0.1,7.2,0.2,0.4,2,60,0.8,13.6,59
C-337688,3694,MT,47.634,-108.6667,07/21/09,Herbaceous Upland,Grasslands/Herbaceous,75-100,31.4,2.3,3.5,5.8,12.9,14.6,N.D.,27.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,34.1,<1,7.92,9.7,867,2.2,0.33,0.63,N.D.,0.63,0.65,0.2,52.5,8.8,80,10,26.4,3.68,17.8,0.06,0.07,2.23,28.9,58,1.12,121,2.14,0.77,12.9,29.3,580,18.4,122,0.53,0.91,11.8,2,1.9,177,<0.1,10.6,0.34,0.7,3.7,206,1.4,17.7,117
C-337690,3758,MT,46.7482,-113.7769,07/08/09,Forested Upland,Mixed Forest,0-20,65.7,1.6,4.9,6.4,N.D.,9.6,1.7,11.3,N.D.,0.2,N.D.,N.D.,0.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,16.5,<1,3.29,3.6,879,1,0.23,3.54,N.D.,3.54,0.43,0.2,35.7,3.7,18,<5,4.8,1.05,7.24,0.03,0.03,1.75,18.4,24,0.29,762,0.27,0.17,3.6,7.1,550,9.6,70.8,0.02,0.7,2.9,<0.2,0.7,106,<0.1,4.5,0.11,0.3,0.9,19,0.4,4.9,52
C-337889,3774,MT,45.9149,-105.3742,09/24/09,Shrubland,Shrubland,76-90,41.3,3.7,4.3,7.9,0.3,14,5.7,20,N.D.,N.D.,5.5,N.D.,5.5,N.D.,N.D.,N.D.,1.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,23.4,<1,6.7,3.9,620,2.2,0.37,0.96,0.7,0.3,1.65,0.3,55.5,11.1,54,8,27.9,3.82,16,0.02,0.06,2.12,29.6,27,1.5,697,1.33,0.93,11.3,29.2,840,20.2,100,0.32,0.86,10,0.4,1.9,133,<0.1,10.4,0.26,0.6,3.2,77,1.7,18.4,74
C-337691,3886,MT,45.8933,-109.862,07/01/09,Shrubland,Shrubland,15-30,23.9,1.9,13.3,15.2,7.1,15.9,4,27,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,33.9,<1,7.72,7.5,1160,1.7,0.22,0.8,N.D.,0.8,1.1,0.3,54.1,18.8,133,7,42.9,4.62,16.9,0.02,0.06,2.26,29.2,28,1.74,991,0.38,1.08,9.9,73.1,1200,19.6,83.8,0.03,0.77,13.7,<0.2,1.1,311,<0.1,8.1,0.34,0.6,2.3,125,1.1,19.3,91
C-337692,3950,MT,48.293,-108.1969,07/22/09,Herbaceous Upland,Grasslands/Herbaceous,20-50,37.9,5.3,10.8,16.1,4.2,5.4,0.8,10.4,N.D.,5.4,3.9,N.D.,9.4,N.D.,N.D.,N.D.,0.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,25.5,<1,5.17,8.6,749,1.3,0.18,1.75,1.2,0.6,4.37,0.2,55.7,8.8,34,<5,15.8,2.18,11.4,0.04,0.04,1.63,28.7,30,1.47,325,0.62,1.25,8.2,21.5,610,12.9,68,0.43,0.87,7,0.4,1.2,195,<0.1,9,0.23,0.5,2.3,66,1,15.8,63
C-337693,3982,MT,46.106,-114.2824,07/08/09,Forested Upland,Evergreen Forest,15-30,27.5,12.1,35,47.1,0.5,4.2,0.8,5.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,19.9,<1,7.76,2.4,1350,1.5,0.14,1.8,N.D.,1.8,1.18,<0.1,49.4,4.9,12,<5,7.8,1.73,16.9,0.02,0.03,2.12,25.7,27,0.36,636,0.64,2.38,6.2,8.8,660,18.8,62.6,0.01,0.65,4.1,<0.2,1.2,537,<0.1,7.2,0.21,0.3,1.2,31,0.6,8.4,76
C-337696,4014,MT,45.2192,-112.5419,07/06/09,Planted/Cultivated,Pasture/Hay,50-90,36.2,3.9,12.5,16.4,2.6,7.7,N.D.,10.2,N.D.,11.6,1.9,N.D.,13.4,N.D.,N.D.,N.D.,N.D.,N.D.,0.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,23.3,<1,4.8,7.3,581,1.4,0.22,2.04,1.6,0.4,6.02,0.3,60.8,9.5,30,<5,14.2,2.24,12.6,0.01,0.04,1.57,30,19,1.33,554,0.99,0.93,12.3,17,700,14.7,70.4,0.09,0.73,7,0.2,1.4,227,<0.1,10.1,0.23,0.4,2.4,51,1.7,21.2,49
C-337890,4206,MT,46.4975,-107.3243,09/18/09,Shrubland,Shrubland,20-29,26.1,4.6,10.2,14.8,3.1,8.2,2.8,14.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,38.2,<1,7.16,12.4,656,1.8,0.32,0.59,N.D.,0.59,1.95,0.2,48.4,9.7,59,7,26.2,3.4,15.7,0.01,0.05,1.91,26.1,42,1.14,274,1.91,1.06,10.8,26.4,630,17.3,92.1,1.21,0.92,10.3,1.4,1.8,200,<0.1,10,0.3,0.6,3.5,129,1.2,17.9,96
C-337697,4334,MT,45.2797,-113.0326,07/06/09,Herbaceous Upland,Grasslands/Herbaceous,30-50,21.3,4.4,2.6,7,N.D.,4.3,N.D.,4.3,N.D.,3.3,53.8,N.D.,57.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,10.3,<1,1.73,4.7,151,0.6,0.07,7.94,7.4,0.5,13.6,<0.1,29.7,4.6,12,<5,5.6,0.88,4.91,0.02,<0.02,0.99,15.8,11,7.85,392,0.26,0.14,12.2,7.9,780,5.9,31.3,0.02,0.38,2.5,<0.2,0.5,122,<0.1,3.9,0.11,0.2,1.4,26,1.3,8.4,18
C-337698,4430,MT,47.3077,-114.7983,07/08/09,Forested Upland,Evergreen Forest,0-20,11.1,1.2,14.1,15.3,N.D.,11.1,N.D.,11.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,62.5,<1,7.72,5.5,974,1.8,0.3,1.82,N.D.,1.82,1.24,0.2,55.3,9.9,15,6,19.2,2.44,20.1,0.03,0.06,1.52,22.6,34,0.54,1120,1.05,1.6,8.7,16.1,1360,18.1,67.7,0.02,0.57,8.1,<0.2,1.6,233,<0.1,7.4,0.32,0.4,2.2,42,1.2,17.5,105
C-337937,4462,MT,47.1604,-107.9043,09/19/09,Herbaceous Upland,Grasslands/Herbaceous,71-82,48.5,5.4,9.2,14.6,2.8,7.9,N.D.,10.7,N.D.,1.4,5.4,N.D.,6.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,19.4,<1,5,6.3,549,1.4,0.19,1.08,0.9,0.2,2.12,0.1,51.7,7,16,<5,6.8,1.67,13,<0.01,0.04,2.06,26.5,31,1.25,278,0.55,1.05,8.3,12.2,380,11.7,84.3,0.04,0.99,6.7,0.4,1.5,105,<0.1,7.2,0.17,0.5,1.8,43,1,14.4,40
C-337699,4478,MT,48.5464,-106.3435,07/22/09,Herbaceous Upland,Grasslands/Herbaceous,30-40,44.1,7.6,23.5,31.1,0.7,N.D.,1,1.7,N.D.,4.7,2.9,N.D.,7.5,N.D.,N.D.,N.D.,N.D.,N.D.,2.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,13.3,<1,5.29,2.8,628,1.3,0.09,1.48,0.9,0.6,3.9,0.1,47,9.4,32,<5,18.7,1.88,12.9,0.01,0.03,1.59,23.2,22,1.12,323,0.28,1.34,6.1,21.1,570,13,60.1,0.02,0.26,7.1,<0.2,0.9,251,<0.1,7.4,0.17,0.4,1.8,54,0.7,12.5,41
C-337700,4526,MT,46.6835,-111.7388,08/01/09,Forested Upland,Evergreen Forest,30-80,26.6,2.1,1.7,3.8,N.D.,14,N.D.,14,N.D.,21.8,3.5,N.D.,25.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,30.4,<1,4.73,11.1,625,1.1,0.12,4.83,3.1,1.7,12.3,0.2,68.9,10.6,41,10,19.9,1.91,12.1,0.03,0.03,2.32,31.9,26,1.77,164,0.59,0.29,7.1,21.6,900,15.4,86.3,0.04,0.46,7,0.2,1.1,372,<0.1,14.4,0.2,0.5,2.2,53,1.3,14.8,42
C-337701,4590,MT,46.4095,-113.5134,07/08/09,Forested Upland,Evergreen Forest,90-110,20.5,7.9,44.1,52,N.D.,19.7,N.D.,19.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,7.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,8.22,2.9,1090,1.8,0.31,0.12,N.D.,0.12,3.03,<0.1,57.6,22.3,89,5,36.6,3.94,20.3,0.03,0.04,2.32,28.5,25,2.01,566,0.32,2.32,13.4,52.1,750,14.5,117,<0.01,0.61,11.4,<0.2,1.3,500,<0.1,8.7,0.44,0.5,1.8,104,3.8,14.7,68
C-337938,4654,MT,45.4663,-108.0048,09/17/09,Shrubland,Shrubland,42-56,49.1,2.7,4.6,7.3,N.D.,6.6,3.1,9.7,N.D.,10.2,N.D.,N.D.,10.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,23.8,<1,3.66,13.5,1190,1.3,0.16,2.04,1.2,0.8,5.38,0.7,56.7,12.4,26,<5,18.5,3.24,9.25,0.01,0.03,1.18,29.5,30,0.62,2170,1.98,0.42,7.4,22.9,1500,16.7,51.3,0.07,0.69,6.5,0.4,0.9,225,<0.1,7,0.17,0.4,3.3,57,0.9,26.9,55
C-337702,4670,MT,48.0314,-106.3654,07/22/09,Shrubland,Shrubland,0-30,33.5,3.9,12,15.9,12.5,8.7,N.D.,21.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,29.5,<1,6.55,14,742,1.7,0.21,1.2,N.D.,1.2,0.86,0.2,46.1,10.9,48,6,18.9,3.03,14.7,0.02,0.05,1.76,24,36,0.88,243,1.55,0.91,8.9,22.1,590,15.4,79.9,0.16,0.78,10.8,0.5,1.2,207,<0.1,8.3,0.27,0.5,2.9,121,1.1,15.8,87
C-337704,4718,MT,48.6068,-108.9883,07/18/09,Herbaceous Upland,Grasslands/Herbaceous,30-60,42.8,5,13.1,18.1,4.1,5.8,N.D.,9.9,N.D.,4.1,2.2,N.D.,6.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,23,<1,5.3,7,705,1.2,0.15,1.55,0.8,0.8,3.31,0.2,50.7,11,36,<5,16.3,2.15,14,0.03,0.04,1.53,25.4,25,1.05,350,0.7,0.93,8.3,21.9,490,13.8,73.2,0.03,0.71,7.4,0.2,1.1,198,<0.1,8.4,0.21,0.5,2,78,1,16.9,57
C-337705,4782,MT,48.1735,-112.3479,07/15/09,Herbaceous Upland,Grasslands/Herbaceous,0-30,15.9,N.D.,1.5,1.5,N.D.,6,1.3,7.4,N.D.,20.9,40.6,N.D.,61.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,13.8,<1,2.8,5.1,173,0.7,0.1,8.01,7.8,0.2,16.4,0.2,22.8,6,25,<5,10.1,1.46,6.84,0.01,0.02,0.99,12.7,23,5.3,237,0.82,0.22,4.1,14.1,550,7.4,41.3,0.05,0.35,4.5,0.2,0.7,133,<0.1,3.8,0.11,0.3,1.4,36,0.5,10.7,37
C-337939,4798,MT,45.3146,-106.2675,09/25/09,Shrubland,Shrubland,74-87,29.5,4.2,6.2,10.4,6.8,10.5,4.5,21.8,N.D.,5,3.5,N.D.,8.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,29.8,<1,7.19,<0.6,783,1.4,0.2,1.67,1.1,0.6,4.12,0.7,49.1,12.9,59,<5,39.3,3.25,17.9,0.05,0.06,2.02,26.3,40,1.56,670,1.34,0.81,9.6,39,870,14.3,77.5,0.02,1.05,14.3,0.4,1.4,234,<0.1,8.1,0.31,0.5,2.1,104,1.1,17.4,97
C-337706,4830,MT,48.8271,-114.8707,07/11/09,Forested Upland,Evergreen Forest,0-10,32.8,0.6,11.4,12,3.4,15.6,N.D.,19,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,36.2,<1,5.5,5.6,797,1.6,0.29,4.47,N.D.,4.47,0.81,0.4,58.3,7.3,23,8,9.4,1.91,15.5,0.04,0.06,2,25.6,50,0.54,1380,0.94,0.76,6.3,8.8,400,32,97.7,0.02,2.2,7.4,<0.2,2,84.8,<0.1,8.6,0.19,0.5,1.9,40,0.8,11.9,132
C-337707,4846,MT,45.5265,-110.6906,08/03/09,Herbaceous Upland,Grasslands/Herbaceous,5-35,33.7,6.4,9.7,16.1,8.2,8.7,0.3,17.1,N.D.,0.3,N.D.,N.D.,0.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,32.8,<1,6.29,9.5,952,2.3,0.29,1.08,N.D.,1.08,1.16,0.2,69.3,9.3,47,6,14.5,2.57,17.3,0.03,0.05,1.75,36.9,27,1,385,1,0.66,14.7,26.6,780,19.5,92.3,0.04,0.87,9,0.3,2.4,212,<0.1,14.3,0.21,0.6,3.2,77,2,23.8,83
C-337709,4910,MT,45.3874,-109.7554,07/31/09,Forested Upland,Evergreen Forest,10-20,46.1,6.7,23.2,29.9,0.3,8,N.D.,8.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,15,<1,5.91,4.7,649,1.5,0.17,0.99,N.D.,0.99,0.95,<0.1,56,11.6,49,<5,12.3,1.95,14.6,0.01,0.03,1.89,25.4,21,0.62,364,0.62,1.45,10.1,18.3,630,19.7,89.3,0.02,0.39,6.4,<0.2,1.1,208,<0.1,10.6,0.24,0.5,2.4,62,1,10.8,49
C-337710,4926,MT,47.5359,-105.0388,07/25/09,Herbaceous Upland,Grasslands/Herbaceous,90-110,26.5,5.6,N.D.,5.6,7.2,21.8,N.D.,29.1,N.D.,N.D.,12.6,N.D.,12.6,N.D.,N.D.,N.D.,5.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,20.9,<1,6.79,12.9,1240,2.5,0.5,1.87,1.6,0.3,4.07,0.2,54.9,15,45,11,26.8,2.81,19.6,0.04,0.07,2.55,26.5,39,2.72,332,1.51,0.56,11.4,22.4,510,20.1,130,0.94,2.44,10.4,1.1,2.4,188,<0.1,11.2,0.24,0.8,4.9,80,1.8,16.3,72
C-337711,4942,MT,47.6358,-114.904,07/08/09,Forested Upland,Evergreen Forest,15-20,18.9,N.D.,17.9,17.9,2.6,10.4,N.D.,13,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,49.2,<1,7.8,5.4,1390,1.8,0.3,2.79,N.D.,2.79,1.13,0.2,59.5,10.4,23,7,19.3,2.8,20.3,0.04,0.06,1.45,23.8,43,0.67,1230,1.1,1.31,10,26.2,1580,15.7,73.3,0.02,0.57,8.6,<0.2,1.8,201,<0.1,8.5,0.38,0.5,2.1,60,1.3,16.4,121
C-337712,4974,MT,47.786,-110.3045,07/20/09,Herbaceous Upland,Grasslands/Herbaceous,40-75,47.8,2.5,7.7,10.2,4.3,8.1,N.D.,12.4,N.D.,8.2,2.2,N.D.,10.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,19.3,<1,4.65,6.5,622,1.2,0.15,1.94,1.3,0.6,4.3,0.3,51.2,8.9,30,<5,16.6,1.94,11.1,0.03,0.03,1.33,24.8,23,0.9,319,0.61,0.59,7.7,20.1,530,12.6,60.5,0.02,0.68,6.7,0.3,1,147,<0.1,9.7,0.21,0.5,1.9,65,2.5,14.9,51
C-337713,5006,MT,45.8534,-114.1916,07/08/09,Forested Upland,Evergreen Forest,20-30,22.8,12.3,39.9,52.2,N.D.,6.5,1.8,8.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,16.7,<1,8.6,1.5,793,3,0.14,1.04,N.D.,1.04,0.84,<0.1,89.3,8.4,27,9,5,2,26,0.01,0.04,2.55,37.7,43,0.57,678,0.28,2.8,9.8,11.7,470,22.3,134,<0.01,0.15,4.5,<0.2,2.7,345,<0.1,19.7,0.29,0.8,2.7,38,0.4,8.3,92
C-337714,5038,MT,47.4243,-113.5924,07/14/09,Forested Upland,Evergreen Forest,15-35,48.9,N.D.,8.4,8.4,5.1,17.4,N.D.,22.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,19.1,<1,6.01,4.3,645,1.6,0.24,0.95,N.D.,0.95,0.4,<0.1,66.1,8.2,29,7,16.5,2.33,15.6,0.01,0.05,1.96,30,69,1.08,505,0.56,0.73,9.3,14.2,530,16.5,104,0.01,0.54,7.8,<0.2,1.8,65.9,<0.1,9.1,0.31,0.6,2,59,1.4,10.4,88
